NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
947,"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CND",77.56,83,5.54,0.28,1.5,15.12,6.3,,34,1.55,32,86,260,332,0.84,0.142,0.2,3.1,0.8,0.039,0.039,0.504,0.144,0.055,77,0,77,77,,0,0,0,0,,,,,,,0,0,,0.072,0.024,0.12,0
948,"BEANS,FRENCH,MATURE SEEDS,RAW",10.77,343,18.81,2.02,4.3,64.11,25.2,,186,3.4,188,304,1316,18,1.9,0.44,1.2,12.9,4.6,0.535,0.221,2.083,0.789,0.401,399,0,399,399,,0,8,0,0,,,,,,,0,0,,0.221,0.138,1.207,0
949,"BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT",66.57,129,7.05,0.76,1.61,24.02,9.4,,63,1.08,56,102,370,6,0.64,0.115,0.382,1.2,1.2,0.13,0.062,0.546,0.222,0.105,75,0,75,75,,0,3,0,0,,,,,,,0,0,,0.083,0.052,0.453,0
950,"BEANS,GREAT NORTHERN,MATURE SEEDS,RAW",10.7,339,21.86,1.14,3.93,62.37,20.2,2.26,175,5.47,189,447,1387,14,2.31,0.837,1.423,12.9,5.3,0.653,0.237,1.955,1.098,0.447,482,0,482,482,,0,0,0,0,0,0,0,0,0,0.22,0,0,6,0.356,0.053,0.477,0
951,"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,WO/SALT",69,118,8.33,0.45,1.14,21.09,7,,68,2.13,50,165,391,2,0.88,0.247,0.518,4.1,1.3,0.158,0.059,0.681,0.266,0.117,102,0,102,102,,0,1,0,0,,,,,,,0,0,,0.14,0.021,0.187,0
952,"BEANS,GREAT NORTHERN,MATURE SEEDS,CND",69.89,114,7.37,0.39,1.33,21.02,4.9,1.41,53,1.57,51,136,351,370,0.65,0.16,0.408,4.1,1.3,0.143,0.06,0.461,0.278,0.106,81,0,81,81,29.5,0,1,0,0,0,0,0,0,0,0.79,0,0,3,0.12,0.018,0.161,0
953,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,RAW",11.75,333,23.58,0.83,3.83,60.01,24.9,2.23,143,8.2,140,407,1406,24,2.79,0.958,1.021,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394,0,394,394,,0,0,0,0,0,0,0,0,0,0.22,0,0,19,0.12,0.064,0.457,0
954,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,WO/SALT",66.94,127,8.67,0.5,1.09,22.8,6.4,0.32,35,2.22,42,138,405,1,1,0.216,0.43,1.1,1.2,0.16,0.058,0.578,0.22,0.12,130,0,130,130,30.5,0,0,0,0,0,0,0,0,0,0.03,0,0,8.4,0.073,0.039,0.278,0
955,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CND",78.04,84,5.22,0.6,1.64,14.5,4.3,1.85,34,1.17,27,90,237,296,0.46,0.135,0.168,0.9,1.2,0.116,0.051,0.411,0.138,0.074,36,0,36,36,34.9,0,0,,0,,,,,,0.02,0,0,4.1,0.141,0.382,0.263,0
956,"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,RAW",11.75,330,24.37,0.25,3.83,59.8,24.9,,195,9.35,160,405,1490,11,2.55,1.1,1,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394,0,394,394,,0,8,0,0,,,,,,,0,0,,0.036,0.019,0.138,0
957,"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,WO/SALT",66.93,124,9.13,0.09,1.44,22.41,9.3,,66,2.98,48,137,419,4,0.86,0.289,0.318,1.2,1.2,0.129,0.062,0.54,0.219,0.104,74,0,74,74,,0,3,0,0,,,,,,,0,0,,0.014,0.007,0.052,0
958,"BEANS,KIDNEY,RED,MATURE SEEDS,RAW",11.75,337,22.53,1.06,3.37,61.29,15.2,2.1,83,6.69,138,406,1359,12,2.79,0.699,1.111,3.2,4.5,0.608,0.215,2.11,0.78,0.397,394,0,394,394,65.9,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.154,0.082,0.586,0
959,"BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,WO/SALT",66.94,127,8.67,0.5,1.09,22.8,7.4,0.32,28,2.94,45,142,403,2,1.07,0.242,0.477,1.2,1.2,0.16,0.058,0.578,0.22,0.12,130,0,130,130,30.5,0,0,0,0,0,0,0,0,0,0.03,0,0,8.4,0.072,0.039,0.275,0
960,"BEANS,KIDNEY,RED,MATURE SEEDS,CND,SOL & LIQUIDS",77.96,81,5.22,0.36,1.64,14.83,4.3,1.85,29,1.25,30,106,260,256,0.62,0.147,0.291,1.1,0.8,0.106,0.067,0.494,0.13,0.08,23,0,23,23,30.5,0,0,0,0,0,0,0,0,0,0.02,0,0,4.1,0.125,0.147,0.174,0
961,"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,RAW",11.9,329,25.33,0.45,4,58.33,24.9,,131,8.7,138,406,1346,13,2.66,1,1.109,3.2,4.5,0.39,0.24,2.106,0.779,0.396,393,0,393,393,,0,8,0,0,,,,,,,0,0,,0.065,0.035,0.249,0
962,"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,CKD,BLD,WO/SALT",66.99,123,9.49,0.17,1.5,21.85,9.3,,44,2.77,42,142,378,5,0.9,0.262,0.255,1.2,1.2,0.095,0.067,0.552,0.219,0.104,74,0,74,74,,0,3,0,0,,,,,,,0,0,,0.024,0.013,0.093,0
963,"BEANS,NAVY,MATURE SEEDS,RAW",12.1,337,22.33,1.5,3.32,60.75,15.3,3.88,147,5.49,175,407,1185,5,3.65,0.834,1.418,11,,0.775,0.164,2.188,0.744,0.428,364,0,364,364,87.4,0,0,0,0,0,0,0,0,0,0.02,0,0,2.5,0.17,0.128,0.873,0
964,"BEANS,NAVY,MATURE SEEDS,CKD,BLD,WO/SALT",63.81,140,8.23,0.62,1.3,26.05,10.5,0.37,69,2.36,53,144,389,0,1.03,0.21,0.527,2.9,0.9,0.237,0.066,0.649,0.266,0.138,140,0,140,140,44.7,0,0,0,0,0,0,0,0,0,0.01,0,0,0.6,0.098,0.142,0.49,0
965,"BEANS,NAVY,MATURE SEEDS,CND",70.45,113,7.53,0.43,1.14,20.45,5.1,0.28,47,1.85,47,134,288,336,0.77,0.208,0.375,5.8,0.7,0.141,0.055,0.487,0.172,0.103,62,0,62,62,26.9,0,1,0,0,0,0,0,0,0,0.78,0,0,2.9,0.112,0.038,0.186,0
966,"BEANS,PINK,MATURE SEEDS,RAW",10.06,343,20.96,1.13,3.66,64.19,12.7,2.14,130,6.77,182,415,1464,8,2.55,0.81,1.376,13,0,0.772,0.192,1.892,0.997,0.527,463,0,463,463,67.2,0,0,0,0,0,0,0,0,0,0.21,0,0,5.7,0.292,0.098,0.487,0
967,"BEANS,PINK,MATURE SEEDS,CKD,BLD,WO/SALT",61.2,149,9.06,0.49,1.34,27.91,5.3,0.36,52,2.3,65,165,508,2,0.96,0.271,0.548,1.4,0,0.257,0.063,0.57,0.299,0.175,168,0,168,168,36.9,0,0,0,0,0,0,0,0,0,0.98,0,0,3.7,0.126,0.042,0.21,0
968,"BEANS,PINTO,MATURE SEEDS,RAW",11.33,347,21.42,1.23,3.46,62.55,15.5,2.11,113,5.07,176,411,1393,12,2.28,0.893,1.148,27.9,6.3,0.713,0.212,1.174,0.785,0.474,525,0,525,525,66.2,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.235,0.229,0.407,0
969,"BEANS,PINTO,MATURE SEEDS,CKD,BLD,WO/SALT",62.95,143,9.01,0.65,1.17,26.22,9,0.34,46,2.09,50,147,436,1,0.98,0.219,0.453,6.2,0.8,0.193,0.062,0.318,0.21,0.229,172,0,172,172,35.3,0,0,0,0,0,0,0,0,0,0.94,0,0,3.5,0.136,0.133,0.235,0
970,"BEANS,PINTO,MATURE SEEDS,CND,SOL & LIQUIDS",78.19,82,4.6,0.56,1.48,15.18,4.6,1.02,47,1.47,33,92,276,268,0.56,0.162,0.318,,0.7,0.052,0.016,0.268,0.136,0.074,24,0,24,24,20.8,0,0,0,0,0,0,0,,,0.55,0,0,2.1,0.123,0.114,0.203,0
971,"BEANS,SML WHITE,MATURE SEEDS,RAW",11.71,336,21.11,1.18,3.75,62.25,24.9,,173,7.73,183,445,1542,12,2.81,0.635,1.278,12.8,0,0.743,0.207,1.342,0.729,0.439,386,0,386,386,,0,0,0,0,,,,,,,0,0,,0.304,0.102,0.507,0
972,"BEANS,SML WHITE,MATURE SEEDS,CKD,BLD,WO/SALT",63.24,142,8.97,0.64,1.34,25.81,10.4,,73,2.84,68,169,463,2,1.09,0.149,0.51,1.3,0,0.236,0.059,0.272,0.251,0.127,137,0,137,137,,0,0,0,0,,,,,,,0,0,,0.166,0.056,0.276,0
973,"BEANS,YEL,MATURE SEEDS,RAW",11.1,345,22,2.6,3.6,60.7,25.1,,166,7.01,222,488,1042,12,2.83,0.639,1.286,12.8,0,0.69,0.33,2.43,0.734,0.442,389,0,389,389,,0,6,0,0,,,,,,,0,0,,0.671,0.226,1.118,0
974,"BEANS,YEL,MATURE SEEDS,CKD,BLD,WO/SALT",62.98,144,9.16,1.08,1.5,25.28,10.4,0.34,62,2.48,74,183,325,5,1.06,0.186,0.455,1.3,1.8,0.187,0.103,0.708,0.229,0.129,81,0,81,81,35.2,0,2,0,0,0,0,0,0,0,0.94,0,0,3.5,0.279,0.094,0.466,0
975,"BEANS,WHITE,MATURE SEEDS,RAW",11.32,333,23.36,0.85,4.2,60.27,15.2,2.11,240,10.44,190,301,1795,16,3.67,0.984,1.796,12.8,0,0.437,0.146,0.479,0.732,0.318,388,0,388,388,66.2,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.219,0.074,0.364,0
976,"BEANS,WHITE,MATURE SEEDS,CKD,BLD,WO/SALT",63.08,139,9.73,0.35,1.75,25.09,6.3,0.34,90,3.7,63,113,561,6,1.38,0.287,0.636,1.3,0,0.118,0.046,0.14,0.229,0.093,81,0,81,81,35.1,0,0,0,0,0,0,0,0,0,0.94,0,0,3.5,0.091,0.031,0.152,0
977,"BEANS,WHITE,MATURE SEEDS,CND",70.1,114,7.26,0.29,1.15,21.2,4.8,0.29,73,2.99,51,91,454,340,1.12,0.232,0.515,1.6,0,0.096,0.037,0.113,0.185,0.075,65,0,65,65,,0,0,0,0,0,0,0,0,0,0.79,0,0,2.9,0.074,0.025,0.123,0
978,"BROADBEANS (FAVA BEANS),MATURE SEEDS,RAW",10.98,341,26.12,1.53,3.08,58.29,25,5.7,103,6.7,192,421,1062,13,3.14,0.824,1.626,8.2,1.4,0.555,0.333,2.832,0.976,0.366,423,0,423,423,95.8,0,53,3,0,0,32,0,0,0,0.05,0,0,9,0.254,0.303,0.627,0
979,"BROADBEANS (FAVA BNS),MATURE SEEDS,CKD,BLD,WO/SALT",71.54,110,7.6,0.4,0.81,19.65,5.4,1.82,36,1.5,43,125,268,5,1.01,0.259,0.421,2.6,0.3,0.097,0.089,0.711,0.157,0.072,104,0,104,104,30.6,0,15,1,0,0,9,0,0,0,0.02,0,0,2.9,0.066,0.079,0.164,0
980,"BROADBEANS (FAVA BNS),MATURE SEEDS,CND",80.32,71,5.47,0.22,1.58,12.41,3.7,,26,1,32,79,242,453,0.62,0.109,0.288,1.8,1.8,0.02,0.05,0.96,0.119,0.045,33,0,33,33,,0,10,1,0,,,,,,,0,0,,0.037,0.044,0.09,0
981,"CAROB FLOUR",3.58,222,4.62,0.65,2.27,88.88,39.8,49.08,348,2.94,54,79,827,35,0.92,0.571,0.508,5.3,0.2,0.053,0.461,1.897,0.047,0.366,29,0,29,29,11.9,0,14,1,0,0,8,0,0,0,0.63,0,0,0,0.09,0.197,0.216,0
982,"CHICKPEAS (GARBANZO BNS,BENGAL GM),MATURE SEEDS,RAW",7.68,378,20.47,6.04,2.85,62.95,12.2,10.7,57,4.31,79,252,718,24,2.76,0.656,21.306,0,4,0.477,0.212,1.541,1.588,0.535,557,0,557,557,99.3,0,67,3,0,0,40,0,0,0,0.82,0,0,9,0.603,1.377,2.731,0
983,"CHICKPEAS ,MATURE SEEDS,CKD,BLD,WO/SALT",60.21,164,8.86,2.59,0.92,27.42,7.6,4.8,49,2.89,48,168,291,7,1.53,0.352,1.03,3.7,1.3,0.116,0.063,0.526,0.286,0.139,172,0,172,172,42.8,0,27,1,0,0,16,0,0,0,0.35,0,0,4,0.269,0.583,1.156,0
984,"CHICKPEAS (GARBANZO BNS,BENGAL GRAM),MATURE SDS,CND,SOL&LIQ",78.55,88,4.92,1.95,1.09,13.49,4.4,,35,1.23,27,80,144,278,0.69,0.153,0.818,2,0.1,0.032,0.015,0.13,0.299,0.473,25,0,25,25,32.6,0,15,1,0,0,9,0,0,0,,0,0,,0.204,0.444,0.881,0
985,"CHILI WITH BEANS,CANNED",75.51,103,6.12,3.76,1.38,13.24,3.3,1.65,47,3.43,45,154,365,423,2,0.117,0.134,1.3,1.7,0.048,0.105,0.358,1.42,0.132,23,0,23,23,20.2,0,337,17,0,0,180,43,1069,107,0.52,0,0,1.9,1.133,1.601,0.249,17
986,"COWPEAS,CATJANG,MATURE SEEDS,RAW",11.05,343,23.85,2.07,3.39,59.64,10.7,,85,9.95,333,438,1375,58,6.11,1.059,1.544,9.1,1.5,0.68,0.17,2.795,1.511,0.361,639,0,639,639,,0,33,2,0,,,,,,,0,0,,0.542,0.173,0.889,0
987,"COWPEAS,CATJANG,MATURE SEEDS,CKD,BLD,WO/SALT",69.7,117,8.13,0.71,1.16,20.32,3.6,,26,3.05,96,142,375,19,1.87,0.271,0.473,2.5,0.4,0.162,0.046,0.714,0.386,0.092,142,0,142,142,,0,10,1,0,,,,,,,0,0,,0.185,0.059,0.303,0
988,"COWPEAS,COMMON (BLACKEYES,CROWDER,SOUTHERN),MTRE SEEDS,RAW",11.95,336,23.52,1.26,3.24,60.03,10.6,6.9,110,8.27,184,424,1112,16,3.37,0.845,1.528,9,1.5,0.853,0.226,2.075,1.496,0.357,633,0,633,633,94.7,0,50,3,0,0,30,0,0,0,0.39,0,0,5,0.331,0.106,0.542,0
989,"COWPEAS,COMMON (BLKEYES,CRWDR,STHRN),MTURE,CKD,BLD,WO/SALT",70.04,116,7.73,0.53,0.94,20.76,6.5,3.3,24,2.51,53,156,278,4,1.29,0.268,0.475,2.5,0.4,0.202,0.055,0.495,0.411,0.1,208,0,208,208,32.2,0,15,1,0,0,9,0,0,0,0.28,0,0,1.7,0.138,0.044,0.225,0
990,"COWPEAS,COMMON,MATURE SEEDS,CND,PLN",79.63,77,4.74,0.55,1.45,13.63,3.3,,20,0.97,28,70,172,293,0.7,0.117,0.283,2.3,2.7,0.076,0.074,0.354,0.19,0.045,51,0,51,51,,0,13,,0,,,,,,,0,0,,0.144,0.046,0.237,0
991,"COWPEAS,COMMON,MATURE SEEDS,CND W/PORK",77.59,83,2.74,1.6,1.54,16.53,3.3,,17,1.42,43,96,178,350,1.04,0.17,0.392,2.3,0.2,0.063,0.05,0.431,0.191,0.045,51,0,51,51,,0,0,0,0,,,,,,,0,0,,0.605,0.656,0.229,7
992,"HYACINTH BNS,MATURE SEEDS,RAW",9.38,344,23.9,1.69,4.29,60.74,25.6,,130,5.1,283,372,1235,21,9.3,1.335,1.573,8.2,0,1.13,0.136,1.61,1.237,0.155,23,0,23,23,,0,0,0,0,0,0,0,0,0,,0,0,,0.288,0.076,0.715,0
993,"HYACINTH BNS,MATURE SEEDS,CKD,BLD,WO/SALT",69.13,117,8.14,0.58,1.46,20.69,,,40,4.58,82,120,337,7,2.85,0.341,0.482,2.8,0,0.27,0.037,0.411,0.316,0.037,4,0,4,4,,0,0,0,0,,,,,,,0,0,,0.099,0.026,0.245,0
994,"LENTILS,RAW",8.26,352,24.63,1.06,2.71,63.35,10.7,2.03,35,6.51,47,281,677,6,3.27,0.754,1.393,0.1,4.5,0.873,0.211,2.605,2.14,0.54,479,0,479,479,96.4,0,39,2,0,0,23,0,0,0,0.49,0,0,5,0.154,0.193,0.526,0
995,"LENTILS,MATURE SEEDS,CKD,BLD,WO/SALT",69.64,116,9.02,0.38,0.83,20.13,7.9,1.8,19,3.33,36,180,369,2,1.27,0.251,0.494,2.8,1.5,0.169,0.073,1.06,0.638,0.178,181,0,181,181,32.7,0,8,0,0,0,5,0,0,0,0.11,0,0,1.7,0.053,0.064,0.175,0
996,"LIMA BNS,LRG,MATURE SEEDS,RAW",10.17,338,21.46,0.69,4.3,63.38,19,8.5,81,7.51,224,385,1724,18,2.83,0.74,1.672,7.2,0,0.507,0.202,1.537,1.355,0.512,395,0,395,395,96.7,0,0,0,0,0,0,0,0,0,0.72,0,0,6,0.161,0.062,0.309,0
997,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,WO/SALT",69.79,115,7.8,0.38,1.15,20.88,7,2.9,17,2.39,43,111,508,2,0.95,0.235,0.516,4.5,0,0.161,0.055,0.421,0.422,0.161,83,0,83,83,32.5,0,0,0,0,0,0,0,0,0,0.18,0,0,2,0.089,0.034,0.171,0
998,"LIMA BNS,LRG,MATURE SEEDS,CND",77.08,79,4.93,0.17,2.92,14.91,4.8,,21,1.81,39,74,220,336,0.65,0.18,0.363,4.5,0,0.055,0.034,0.261,0.259,0.091,50,0,50,50,,0,0,0,0,,,,,,,0,0,,0.039,0.015,0.074,0
999,"LIMA BNS,THIN SEEDED (BABY),MATURE SEEDS,RAW",12.07,335,20.62,0.93,3.55,62.83,20.6,8.32,81,6.19,188,370,1403,13,2.6,0.665,1.686,7,0,0.574,0.218,1.712,1.265,0.327,400,0,400,400,,0,0,0,0,0,0,0,0,0,0.7,0,0,5.9,0.219,0.084,0.42,0
1000,"LIMA BNS,THIN SEEDED (BABY),MATURE SEEDS,CKD,BLD,WO/SALT",67.15,126,8.04,0.38,1.12,23.31,7.7,,29,2.4,53,127,401,3,1.03,0.215,0.585,4.9,0,0.161,0.055,0.66,0.472,0.078,150,0,150,150,,0,0,0,0,,,,,,,0,0,,0.088,0.034,0.169,0
1001,"LUPINS,MATURE SEEDS,RAW",10.44,371,36.17,9.74,3.28,40.37,18.9,,176,4.36,198,440,1013,15,4.75,1.022,2.382,8.2,4.8,0.64,0.22,2.19,0.75,0.357,355,0,355,355,,0,0,0,0,0,0,0,0,0,,0,0,,1.156,3.94,2.439,0
1002,"LUPINS,MATURE SEEDS,CKD,BLD,WO/ SALT",71.08,119,15.57,2.92,0.55,9.88,2.8,,51,1.2,54,128,245,4,1.38,0.231,0.676,2.6,1.1,0.134,0.053,0.495,0.188,0.009,59,0,59,59,,0,7,0,0,,,,,,,0,0,,0.346,1.18,0.73,0
1003,"MOTHBEANS,MATURE SEEDS,RAW",9.68,343,22.94,1.61,4.26,61.52,,,150,10.85,381,489,1191,30,1.92,0.688,1.82,8.2,4,0.562,0.091,2.8,1.535,0.366,649,0,649,649,,0,32,2,0,,,,,,,0,0,,0.364,0.129,0.75,0
1004,"MOTHBEANS,MATURE SEEDS,CKD,BLD,WO/SALT",69.23,117,7.81,0.55,1.45,20.96,,,3,3.14,104,150,304,10,0.59,0.164,0.527,2.8,1,0.124,0.023,0.668,0.391,0.093,143,0,143,143,,0,10,1,0,,,,,,,0,0,,0.124,0.044,0.256,0
1005,"MUNG BNS,MATURE SEEDS,RAW",9.05,347,23.86,1.15,3.32,62.62,16.3,6.6,132,6.74,189,367,1246,15,2.68,0.941,1.035,8.2,4.8,0.621,0.233,2.251,1.91,0.382,625,0,625,625,97.9,0,114,6,0,0,68,0,0,0,0.51,0,0,9,0.348,0.161,0.384,0
1006,"MUNG BNS,MATURE SEEDS,CKD,BLD,WO/SALT",72.66,105,7.02,0.38,0.79,19.15,7.6,2,27,1.4,48,99,266,2,0.84,0.156,0.298,2.5,1,0.164,0.061,0.577,0.41,0.067,159,0,159,159,29.4,0,24,1,0,0,14,0,0,0,0.15,0,0,2.7,0.116,0.054,0.128,0
1007,"NOODLES,CHINESE,CELLOPHANE OR LONG RICE (MUNG BNS),DEHYD",13.42,351,0.16,0.06,0.27,86.09,0.5,0,25,2.17,3,32,10,10,0.41,0.081,0.1,7.9,0,0.15,0,0.2,0.1,0.05,2,0,2,2,93.2,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.017,0.008,0.018,0
1008,"MUNGO BNS,MATURE SEEDS,RAW",10.8,341,25.21,1.64,3.36,58.99,18.3,,138,7.57,267,379,983,38,3.35,0.981,1.527,8.2,0,0.273,0.254,1.447,0.906,0.281,216,0,216,216,,0,23,1,0,,,,,,,0,0,,0.114,0.085,1.071,0
1009,"MUNGO BNS,MATURE SEEDS,CKD,BLD,WO/SALT",72.51,105,7.54,0.55,1.06,18.34,6.4,2.01,53,1.75,63,156,231,7,0.83,0.139,0.412,2.5,1,0.15,0.075,1.5,0.433,0.058,94,0,94,94,29.6,0,31,2,0,0,19,0,0,0,0.15,0,0,2.7,0.038,0.029,0.359,0
1010,"PEAS,GRN,SPLIT,MATURE SEEDS,RAW",8.62,352,23.82,1.16,2.66,63.74,25.5,8,37,4.82,49,321,823,15,3.55,0.815,1.22,4.1,1.8,0.726,0.215,2.889,1.758,0.174,274,0,274,274,95.5,0,149,7,0,0,89,0,0,0,0.09,0,0,14.5,0.161,0.242,0.495,0
1011,"PEAS,SPLIT,MATURE SEEDS,CKD,BLD,WO/SALT",69.49,118,8.34,0.39,0.68,21.1,8.3,2.9,14,1.29,36,99,362,2,1,0.181,0.396,0.6,0.4,0.19,0.056,0.89,0.595,0.048,65,0,65,65,32.8,0,7,0,0,0,4,0,0,0,0.03,0,0,5,0.054,0.081,0.165,0
1012,"PEANUTS,ALL TYPES,RAW",6.5,567,25.8,49.24,2.33,16.13,8.5,4.72,92,4.58,168,376,705,18,3.27,1.144,1.934,7.2,0,0.64,0.135,12.066,1.767,0.348,240,0,240,240,52.5,0,0,0,0,0,0,0,0,0,8.33,0,0,0,6.279,24.426,15.558,0
1013,"PEANUTS,ALL TYPES,CKD,BLD,W/SALT",41.78,318,13.5,22.01,1.45,21.26,8.8,2.47,55,1.01,102,198,180,751,1.83,0.499,1.023,4.4,0,0.259,0.063,5.259,0.825,0.152,75,0,75,75,32.7,0,0,0,0,0,0,0,0,0,4.1,0,0,0,3.055,10.921,6.956,0
1014,"PEANUTS,ALL TYPES,OIL-ROASTED,W/SALT",1.45,599,28.03,52.5,2.75,15.26,9.4,4.18,61,1.52,176,397,726,320,3.28,0.533,1.845,3.3,0.8,0.085,0.089,13.825,1.202,0.461,120,0,120,120,55.3,0,0,0,0,0,0,0,0,0,6.94,0,0,0,8.655,25.995,15.303,0
1015,"PEANUTS,ALL TYPES,DRY-ROASTED,W/SALT",1.81,587,24.35,49.66,2.92,21.26,8.4,4.9,58,1.58,178,363,634,410,2.77,0.428,1.786,9.3,0,0.152,0.197,14.355,1.011,0.466,97,0,97,97,64.6,0,0,0,0,0,0,0,0,0,4.93,0,0,0,7.723,26.181,9.773,0
1016,"PEANUTS,SPANISH,RAW",6.39,570,26.15,49.6,2.03,15.83,9.5,,106,3.91,188,388,744,22,2.12,0.9,2.64,7.2,0,0.675,0.135,15.925,1.769,0.348,240,0,240,240,,0,0,0,0,0,0,0,0,0,,0,0,0,7.098,22.325,17.238,0
1017,"PEANUTS,SPANISH,OIL-ROASTED,W/SALT",1.78,579,28.01,49.04,3.72,17.45,8.9,,100,2.28,168,387,776,433,2,0.661,2.355,7.5,0,0.317,0.085,14.933,1.392,0.256,126,0,126,126,,0,0,0,0,,,,,,,0,0,,7.555,22.073,17.008,0
1018,"PEANUTS,VALENCIA,RAW",4.26,570,25.09,47.58,2.17,20.91,8.7,,62,2.09,184,336,332,1,3.34,1.171,1.98,7.3,0,0.639,0.3,12.875,1.809,0.34,246,0,246,246,,0,0,0,0,,,,,,,0,0,,7.329,21.414,16.5,0
1019,"PEANUTS,VALENCIA,OIL-ROASTED,W/SALT",2.12,589,27.04,51.24,3.29,16.3,8.9,,54,1.65,160,319,612,772,3.08,0.838,1.721,7.5,0,0.09,0.153,14.338,1.387,0.243,126,0,126,126,,0,0,0,0,,,,,,,0,0,,7.894,23.065,17.772,0
1020,"PEANUTS,VIRGINIA,RAW",6.91,563,25.19,48.75,2.61,16.54,8.5,3.95,89,2.55,171,380,690,10,4.43,1.112,1.696,7.1,0,0.653,0.131,12.375,1.759,0.346,239,0,239,239,,0,0,0,0,0,0,0,0,0,6.56,0,0,0,6.434,25.58,14.877,0
1021,"PEANUTS,VIRGINIA,OIL-ROASTED,W/SALT",2.17,578,25.87,48.62,3.48,19.86,8.9,,86,1.67,188,506,652,433,6.62,1.273,2.008,7.5,0,0.276,0.112,14.7,1.386,0.254,125,0,125,125,,0,0,0,0,,,,,,,0,0,,6.345,25.222,14.669,0
1022,"PEANUT BUTTER,CHUNK STYLE,W/SALT",1.14,589,24.06,49.94,3.29,21.57,8,8.41,45,1.9,160,319,745,486,2.79,0.578,1.8,8.2,0,0.106,0.111,13.696,1.118,0.418,92,0,92,92,61.3,0,0,0,0,0,0,0,0,0,6.3,0,0,0.5,7.607,23.123,13.932,0
1023,"PEANUT BUTTER,SMOOTH STYLE,W/ SALT",1.23,598,22.21,51.36,2.89,22.31,5,10.49,49,1.74,168,335,558,426,2.51,0.422,1.665,4.1,0,0.15,0.192,13.112,1.137,0.441,87,0,87,87,63,0,0,0,0,0,0,0,0,0,9.1,0,0,0.3,10.325,25.941,12.535,0
1024,"PEANUT FLOUR,DEFATTED",7.8,327,52.2,0.55,4.75,34.7,15.8,8.22,140,2.1,370,760,1290,180,5.1,1.8,4.9,7.1,0,0.7,0.48,27,2.744,0.504,248,0,248,248,108.7,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.063,0.225,0.143,0
1025,"PEANUT FLOUR,LOW FAT",7.8,428,33.8,21.9,5.23,31.27,15.8,,130,4.74,48,508,1358,1,5.99,2.039,4.231,7.1,0,0.457,0.172,11.499,1.543,0.304,133,0,133,133,,0,0,0,0,,,,,,,0,0,,3.04,10.866,6.921,0
1026,"PIGEON PEAS (RED GM),MATURE SEEDS,RAW",10.59,343,21.7,1.49,3.45,62.78,15,,130,5.23,183,367,1392,17,2.76,1.057,1.791,8.2,0,0.643,0.187,2.965,1.266,0.283,456,0,456,456,,0,28,1,0,,,,,,,0,0,,0.33,0.012,0.814,0
1027,"PIGEON PEAS (RED GM),MATURE SEEDS,CKD,BLD,WO/SALT",68.55,121,6.76,0.38,1.06,23.25,6.7,,43,1.11,46,119,384,5,0.9,0.269,0.501,2.9,0,0.146,0.059,0.781,0.319,0.05,111,0,111,111,,0,3,0,0,,,,,,,0,0,,0.083,0.003,0.205,0
